user_id,posted,item_id,review,sentiment_score,item_name
geoskio,"Posted March 14, 2014.",4000.0,Just imagine 100 games in one....... and you get Garry's Mod. For something that started as a mod forHalf-Life 2 this game is pretty amazing!There is so many gamemodes out there that I don't think ANYONE has played them all once!You will need the content from CS:S to run many gamemodes (Models/Maps)Gamemodes I would recommend:TTT (Trouble in Terrorist Town)GMod Tower (You need to dwnload content from workshop)/ Murder\ Stalker    (These two are about the same. 1 person killer except in stalker he is invis & everyone has weaps)Role PlayingZombie SurvivalAND MANY MOREGarry's Mod is literaly 500 games in 1You can join a constant killing eachother serverYou can Role PlayYou can spawn WatermelonsI 100% Reccomend this game & it is DEFINETALY worth the $10 (Or wait till it goes on Special),-0.8065,Garry's Mod
Captain_Honey,"Posted July 12, 2014.",304930.0,I Love this Game So Much You Should Played It!!,0.8011,Unturned
leherplederp,"Posted June 30, 2015.",218230.0,GR8 B8 M8 LOTS OF MOONEY$ TO BE $PENT M8TY 420/1337 PRETTY DANK HELMETS GOTY,0.91,PlanetSide 2
debstup,"Posted July 3, 2014.",4000.0,"For a game that has sold 6 million copies (as of 17 Sept 2014), Gmod still continues to have glitches, errors and map mishaps causing joining friends' servers to become more torturous than need be.Yes, one CAN go read forums for solutions to problems and issues. However, when problems keep continuously happening over and over again, one tires of spending the majority of their time on the game frustratedly trying to fix the game instead of actually playing it.Although, in those rare moments that the game manages to load properly for everyone playing together, it is an immensely enjoyable game to play with friends. At first I recommended it to everyone, however, the more people I played with, the more problems (that could be fixed easily by updates) seemed to arise. Maps, content or textures that people had already owned would not register when they tried to play the game and either resulted in the person not being able to join the server at all (wouldn't even let them download the missing items from the workshop), or joining a server with huge error signs and checkers causing massive lag.10/10 for fun and entertainment, 0/10 for ease of playing. Please, fix this awesome game.",0.9719,Garry's Mod
76561198079637963,"Posted April 11, 2014.",240.0,Хорошая игра она надеюсь останется навсегда и никогда не надаест и я рад тому что я потратил свои деньги на хорошую игру и не пожелел,0.0,Counter-Strike: Source
76561198067546287,"Posted June 1, 2014.",4000.0,เป็น เกมแนว อิสสระ ไม่มีจุดหมายหรือที่สิ้นสุด และเกมนี้ไว้ทำหนัง ได้อีกด้วย เกมนี้ บอกตงนะงับ สวดยอด มากๆ ไห้ 10 เต็มร้อยเลย,0.0,Garry's Mod
76561198045756199,"Posted June 23, 2014.",220.0,Top Stuff,0.2023,Half-Life 2
76561198076208088,"Posted June 21, 2014.",4000.0,Este juego es buenisimo :D,0.6166,Garry's Mod
76561198050786131,"Posted December 30, 2013.",24960.0,"The Battlefield series has got to be one of the most detailed FPS i have ever played and battlefield: Bad company 2 is no different! The game has some amazing physics letting you use your surroundings as a lethal weapon. Also, the graphics on this game are crystal clear showing you in HD how war effects your surroundings. There are also a wide range if different characters from serious to being funny, to stupid to being very clever! And we cant forget about the guns and vehicles. The guns are highley detailed and fit perfevtly into the game adding more realism to the game. And the vehicles have had alot of attention on them too seeing that they look amazing too! The story is perfect for any new beginers to the series and the multiplayer is just pure beautiful! If you are wondering wether to buy this game you should definetly but this one in the cart and check it out because i can guarantee endless fun with this game! Wether fighting the terrorists off in story or capturing towns in multiplayer you will have something to do in this game! 5/5 from me! Thanks for reading",0.8175,Battlefield: Bad Company 2
76561198086306189,"Posted November 16, 2014.",4000.0,This is good game it hass lots of funn gam mode and is good in sandbox i recomefd it!,0.7263,Garry's Mod
PurpleNedKelly,Posted April 19.,4000.0,It's SimpleWhen you play with FriendsTrust No One,0.0516,Garry's Mod
76561198038335577,"Posted July 4, 2012.",105600.0,Terraria is a fun and easy to learn game. it involves key building elements similar to minecraft but also includes great exploration and customization. This game is a great game and i highly recommend it to anyone looking for an enjoyable different game,0.9783,Terraria
76561198076208088,"Posted June 21, 2014.",4000.0,Este juego es buenisimo :D,0.6166,Garry's Mod
76561198060201321,"Posted December 20, 2012.",4000.0,"Such a Creative game to play!Pretty much like Minecraft But better Physics and Not Blocks, Haha!",0.7107,Garry's Mod
joaodiniz67,"Posted December 23, 2015.",105600.0,"otimo, com muitos bosses e um munero inacreditavel de items",0.0,Terraria
Zueiramaster,"Posted February 28, 2014.",4000.0,e o jogo mais criativo do mundo com mod do hf2 e css ok,0.296,Garry's Mod
4043RROR,"Posted November 12, 2014.",220.0,"Masterpiece, beautiful and game of the decade. Glorious in all senses despite its age, fantastic story.33/10",0.8827,Half-Life 2
freehats,"Posted February 11, 2014.",4000.0,This game is pretty good.,0.7269,Garry's Mod
theproficy,"Posted March 12, 2015.",4000.0,Downloads a horror mapWalks into the houseTurns on flashlight to see stuffFinds a dead manZombies appear out of nowhereGrabs an AK-47Kills all the zombiesWalks towards a hallwayHears loud screamHas explosive diarrhea  10/10   - Would have explosive diarrhea again.,-0.8402,Garry's Mod
8498521623,Posted July 10.,4000.0,Un juego en el que la creatividad se puede expresar a sus limites astronomicos,0.0,Garry's Mod
UCNz1EtRDfxU2pfbccI_HFxw,"Posted August 6, 2014.",304930.0,DayZ+Rust  11/10 would play,0.34,Unturned
76561198066287933,"Posted April 23, 2015.",4000.0,Gmod is everythingALL HAIL GABEN!!!!! AND AWAY WITH ME MUNY!!!!,0.4941,Garry's Mod
76561198075738409,"Posted April 16, 2015.",4000.0,My play time speaks for itself..Have fun........................................................................................If you count all of these i will buy this game for you.. :),0.6597,Garry's Mod
TheAnima,"Posted September 20, 2013.",4000.0,This Garry's Mod its Cool!,0.3802,Garry's Mod
JohnnyMcShitty,"Posted January 14, 2015.",4000.0,Best Sandbox Game,0.6369,Garry's Mod
Aika2013,"Posted November 8, 2014.",4000.0,:D,0.5106,Garry's Mod
JustGetShrektGaming,"Posted December 30, 2014.",4000.0,"Overall such a great game. Sandbox : Great and Fun to learnMultiplayer: So many gamemodes whether it be Hide n Seek or Death Run. With G-mod the game is fully made to your liking, you can chill out with mates on your favorite gamemode or learn how to build a car on sandbox.The possibilities are endless, unlike this review.10/10",0.9118,Garry's Mod
76561198101968197,"Posted August 2, 2014.",4000.0,ITS SO AWESOME THAT  TACO PEOPLE DONT EXIST ANYMORE !!!!!!!!!!!!!!!,0.8413,Garry's Mod
FakMuther1234,"Posted October 4, 2015.",4000.0,Pure... AWesomeness,0.0,Garry's Mod
76561198045431856,"Posted February 27, 2015.",4000.0,:) :) :) :) :) 9/10 would mod again,0.9325,Garry's Mod
AqUaH20LiFe,"Posted September 11, 2014.",4000.0,All the cool addons like garrys bomb 5 and all the cool gamemodes like deathrun ttt an darkrp i love it so much i mainly have all vassongaming's addons,0.8625,Garry's Mod
blackop2102,"Posted June 27, 2014.",4000.0,I reccomend cause if you like building stuff or like other game modes you can try out new things,0.6124,Garry's Mod
5856565456564,"Posted November 18, 2015.",4000.0,Heard it was a good gamenow i am the gamehelpi am at -33.856............,0.4404,Garry's Mod
OfficialAlang,"Posted October 2, 2014.",4000.0,Childish.,-0.296,Garry's Mod
scaryoffice,"Posted February 16, 2014.",4000.0,YOU CAN SPAWN WATERMELONS     10/10,0.0,Garry's Mod
76561198066968394,"Posted July 13, 2015.",4000.0,fnaf2 - Fudgingneveraddfnaf2Gmodfnaf3/gmod,0.0,Garry's Mod
bobseagull,"Posted May 7, 2014.",4000.0,You can throw melons at people.10/10,0.0,Garry's Mod
theproficy,"Posted March 12, 2015.",4000.0,Downloads a horror mapWalks into the houseTurns on flashlight to see stuffFinds a dead manZombies appear out of nowhereGrabs an AK-47Kills all the zombiesWalks towards a hallwayHears loud screamHas explosive diarrhea  10/10   - Would have explosive diarrhea again.,-0.8402,Garry's Mod
76561198060201321,"Posted December 20, 2012.",4000.0,"Such a Creative game to play!Pretty much like Minecraft But better Physics and Not Blocks, Haha!",0.7107,Garry's Mod
76561198089300394,"Posted February 13, 2014.",4000.0,i love this game u get to cartat stuff so just go for it and buy in,0.6369,Garry's Mod
01189958889189157253,"Posted November 29, 2013.",4000.0,"This is honestly the best game i've ever played, it's every game you can want with physics and ragdolls and an extensive workshop with virtually infinite things to choose from 10/10 would play.",0.9062,Garry's Mod
SpiritOfDeath2,"Posted June 7, 2015.",4000.0,"Can i recommend Gmod as a game?The answer to that is no, i can not.I cant even say its good by itself. Then there is the steam workshop, and the addons for Gmod. Can i still recommend these as a game? Again, I cant say that these addons are a game, besides the countless addon ""gamemode"" types that are abundant on youtube. I will instead call it a toybox. A world where you can create your own fun, if you have a creative enough mind. I once made a map where you would need to run through a city, where nearly 100 invincible, instant killing, super fast blue creatures were trying to kill you, to get to a tardis to escape, not only from those creatures, but also now some gunships closing onto the tardis. The safe place was a part of the skybox for that map, where you had a jukebox and pets to keep you company. If you are wondering who were the creatures, and what were the pets, the creatures were deadly, and have a named to be feared. They were known as the ""Sanics"" (no that is not a mispelling) and i had various eeveeloutions as pets (pokemon). This is one of the scenarios you can create with the mods avaible on the workshop. A few more that are fun are building space empires, selling and buying spaceships, going to a cinema in order to watch youtube videos, survive a zombie onslaught, create NPC wars, Spawn in a powerful NPC and attempt to kill it (my favourite being the guardian from Doom 3). This game is not good by itself. The mods are not good by themselves. It is what you make of them and how you use them is what makes this game good.",0.9295,Garry's Mod
76561198087570173,"Posted June 22, 2015.",220.0,Game of all of the years.,0.0,Half-Life 2
76561198122280156,"Posted February 13, 2015.",4000.0,this is one of my most played games and i love it so much,0.7841,Garry's Mod
76561198152535010,Posted August 29.,4000.0,So many possibilities...Just too good and hours of endless stupidity and fun :),0.743,Garry's Mod
dmitry_who,"Posted January 21, 2015.",4000.0," Good Game,Симулятор загрузки пользовательского контента",0.4404,Garry's Mod
pharonmix,"Posted April 18, 2015.",4000.0,"this game needs more credit unlike other building games this one is more adaptable to your play style eg like more shooting play on an ttt gamemode or murder like hiding? play prophunt or hide or seek and theres almost 1,000,000 addons for most your needs. worth the money. sure the graphics aren't the best but there are mods for it to look better. so is it better than minecraft... yes.",0.933,Garry's Mod
zachwgtv,"Posted December 1, 2013.",240.0,What do you think?,0.0,Counter-Strike: Source
smokeaconeorfuckoff,"Posted December 23, 2013.",4000.0,much good,0.4404,Garry's Mod
BADBOYBENNY100,"Posted February 28, 2014.",4000.0,Great game play it all the time never get bored of it !!! A+,0.8477,Garry's Mod
MrGrapeGaming,"Posted November 29, 2015.",4000.0,It's a steam owners essential.,0.0,Garry's Mod
SWu3da9W,"Posted December 24, 2013.",4000.0,Wooohooo! this game is so freakin awesome...Its have more things to do in that game!,0.0,Garry's Mod
jamesaway,Posted February 13.,105600.0,Terraria is awesome,0.6249,Terraria
Monsta45,"Posted April 26, 2015.",10.0,Wallbang simulator,0.0,Counter-Strike
76561198045756199,"Posted June 23, 2014.",220.0,Top Stuff,0.2023,Half-Life 2
BESTPERSON,"Posted March 6, 2015.",4000.0,Delicious... :D,0.6166,Garry's Mod
macky121,"Posted March 7, 2015.",4000.0,lol,0.4215,Garry's Mod
yolomangamer,"Posted January 2, 2015.",240.0,i like css surf,0.3612,Counter-Strike: Source
chicka123,"Posted June 11, 2015.",4000.0,Its a fun game but it take 3 hours for me to load up a map.,0.2846,Garry's Mod
PintoProAlto,"Posted December 22, 2014.",4000.0,melhor que pinto no lixo,-0.296,Garry's Mod
raelwhiteout,Posted April 15.,4000.0,"Great game, decent CSS Graphics, Fun gamemodes, Much stuff random happening everyday on servers (especially Sandbox), and Also greatest Casual game EVER !",0.9286,Garry's Mod
yungwarez,"Posted August 11, 2012.",240.0,It's a fully sick game yeah... you can like smoke dank kush and no-scope 12 year olds with one hand. One time I was stuck in a prison cell and I dropped the soap.,-0.4927,Counter-Strike: Source
76561198089455336,"Posted December 19, 2015.",4000.0,best game ive ever played best $10.00 iv e ever spended,0.8957,Garry's Mod
gingerninger,"Posted February 19, 2014.",4000.0,FUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUCKING GENIS,0.0,Garry's Mod
76561198120768369,"Posted June 20, 2014.",4000.0,so good,0.4927,Garry's Mod
reliquiaen,"Posted December 22, 2013.",72850.0,"Such a good game. It needs more dragons... Oh. Nevermind. Played as an Argonian (best player type ever, who doesn't want to be a lizard?). Or a cat, or an orc, or a... I've got four saved characters, 300hrs and it hasn't lost it's AWESOME value yet.",0.7509,The Elder Scrolls V: Skyrim
ricardojr190,"Posted August 30, 2014.",4000.0,"Jogo fantástico, o melhor Sandbox que já vi, perfeito para quem gosta de liberdade, criar o que quiser, sem falar dos modos de jogo diferentes e divertidos, como Murder, Prop Hunt, Elevator Source entre outros. Recomendo 9/10",-0.6908,Garry's Mod
76561198074096704,"Posted September 1, 2014.",4000.0,Got killed by an ant. 11/10.,-0.6705,Garry's Mod
battlefrog,"Posted December 23, 2014.",4000.0,Fapper's Mod,0.0,Garry's Mod
76561198062331003,"Posted March 5, 2013.",550.0,Best zombie co-op game ever created (beside Left 4 Dead 1),0.2263,Left 4 Dead 2
f3v3red,"Posted July 1, 2013.",113200.0,Great game!,0.6588,The Binding of Isaac
warheads,"Posted July 3, 2015.",220.0,"Half Life 2 is still a fantastic game. The gameplay, the graphics, the voice acting, the physics engine. All these things combine to give you a thrilling experience; you need this in your steam library.",0.7717,Half-Life 2
miniature53,"Posted August 18, 2015.",4000.0,Simple graphic but awesome!,0.7871,Garry's Mod
IAmAbel,"Posted November 20, 2015.",730.0,swag af XDDD,0.0,Counter-Strike: Global Offensive
whiteruby3,"Posted December 30, 2013.",550.0,wuuuuu i got this ♥♥♥♥♥♥♥ game free see ya in game ♥♥♥♥,0.5106,Left 4 Dead 2
ultimategamerbr101,"Posted December 22, 2013.",4000.0,esse jogo e do c@raimuinto bom vei,0.0,Garry's Mod
28042005,"Posted February 28, 2015.",4000.0,"el juego es increible y mucho mejor con los addons (mods) que le pongas mas mejor :V es cada vez que es con gente o con amigo, si quieren jugar conmigo mandame tus addons e IP y jugamos lo que se pueda jugar",0.0,Garry's Mod
kamakze751,"Posted September 1, 2014.",4000.0,The most fun you can have with friends is to get thousands of mods and play :D,0.9205,Garry's Mod
HenezRS,"Posted December 30, 2013.",4000.0,"Make sure you have counter strike source, but other than that this game is bloody amazing and i love learning new things on it :D",0.9442,Garry's Mod
ciel1160,"Posted June 7, 2015.",4000.0,Obliviously obvious positive remark.9/11 would crash planes on gm_bigcity,0.2263,Garry's Mod
76561198143329709,"Posted December 6, 2014.",4000.0,"Great game to have fun with friends, the game modes are fantastic and i can see myself losing countless hours into this game.",0.91,Garry's Mod
overrusedmale,"Posted October 7, 2015.",4000.0,mods the game.,0.0,Garry's Mod
zyr0n1c,"Posted July 15, 2013.",4000.0,"Great Game! With lots and lots of props to play around with,add-ons to make it interesting and finally...the ability to make awesome stuff! I recommend this game for those into creativity",0.9652,Garry's Mod
Sgtcook,"Posted October 29, 2015.",4000.0,I played this game so much and its really fun for those who like to build and kill things,0.4201,Garry's Mod
76561198162487321,Posted February 13.,4000.0,"It was on a day like any other, two armies fought. Through fire and smoke and blood and hell, they fought. Until at last, I stood on top of what was once the Combine army.And then, as I looked up at the darkening sky with slaughter in my eyes and glory in my veins I saw the body of a dead Strider descending on top of me. As I felt the air being crushed out of my body and all the bones in my body breaking, I yelled about my victory before I sank into the darkness.10/10 Would be crushed by a dead Strider again :)",-0.9349,Garry's Mod
chewyi,"Posted March 2, 2015.",240.0,"Really fun game, reason why i started playing CS",0.659,Counter-Strike: Source
insenzato,"Posted December 30, 2013.",4000.0,el mejor juego que e jugado,0.0,Garry's Mod
76561198091120667,Posted June 25.,4000.0,bueno,0.0,Garry's Mod
MOnkeyASS12,"Posted May 5, 2014.",220.0,"Nice game, many features and an interesting variety of enemies that will keep you hooked.",0.3182,Half-Life 2
maneatingzombies,"Posted January 13, 2014.",4000.0,"Great Game to play with friends, whether its creation or just outright murder. A good laugh and definetly recommend buying.",0.9325,Garry's Mod
LyfeCookie,"Posted March 10, 2014.",550.0,It fun to play!,0.7177,Left 4 Dead 2
NKraz,"Posted January 1, 2013.",4000.0,It's Garry's.,0.0,Garry's Mod
debstup,"Posted July 3, 2014.",4000.0,"For a game that has sold 6 million copies (as of 17 Sept 2014), Gmod still continues to have glitches, errors and map mishaps causing joining friends' servers to become more torturous than need be.Yes, one CAN go read forums for solutions to problems and issues. However, when problems keep continuously happening over and over again, one tires of spending the majority of their time on the game frustratedly trying to fix the game instead of actually playing it.Although, in those rare moments that the game manages to load properly for everyone playing together, it is an immensely enjoyable game to play with friends. At first I recommended it to everyone, however, the more people I played with, the more problems (that could be fixed easily by updates) seemed to arise. Maps, content or textures that people had already owned would not register when they tried to play the game and either resulted in the person not being able to join the server at all (wouldn't even let them download the missing items from the workshop), or joining a server with huge error signs and checkers causing massive lag.10/10 for fun and entertainment, 0/10 for ease of playing. Please, fix this awesome game.",0.9719,Garry's Mod
KooperAmused,"Posted December 26, 2015.",4000.0,"Garry's Mod is but a tool of your imagaination. Hours of design, creating and destroying all in the name of fun and laughter. The only limits you hvae are what you can imagine (that is especially true for when you hide as a prop hahaha)Very reconmended for the new gamers, as well as a staple fo the old.",0.9079,Garry's Mod
aidenisbae,"Posted June 20, 2015.",240.0,"Biggest CS noob right here. This game is fun. Not many players on servers. I only found 1 that had a consistent 20 players at all times, but at least you can do bot matches. The shooting is great, the graphics are nice and don't look too dated. The only annoyance I have is with some of the sounds, which are straight from the original game. I know that all they did was port it to a new engine but at least they could've added in some new walking sounds. Get it on sale, or get it full price. Its worth every penny, trust me. Just keep in mind that there aren't many people who play this, so you might want friends to play with. If you're looking for a multiplayer shooter with lots of players, great shooting and great graphics, get Global Offensive. If you're looking for all of that, minus lots of players get CS: Source. Trust me, its worth it.",0.9935,Counter-Strike: Source
portjackson,"Posted April 17, 2014.",252490.0,"This game, even in beta, is an incredibly well designed and with friend can an amazing experience. The game stays true to the 'survival at any costs' theme and very quickly becomes a race through the ranks until you achieve real weapons such as pistols and M4's",0.8516,Rust
PlzDontFuckUp,"Posted July 9, 2015.",4000.0,op game :3,0.5106,Garry's Mod
OG1,"Posted October 31, 2015.",10.0,"Pure, hardcore Counter-Strike in its rawest form. The godfather of shooters. If you truly love competitve CS, you will love this.I love this game and have a lot of respect for the fragmovies, but it requires skill so I'm unfortuantely ♥♥♥♥ at it. Maybe one day.",0.8689,Counter-Strike
76561198059579366,Posted January 13.,4000.0,10/10. Not enough garrys,0.0,Garry's Mod
micsisthebest,"Posted July 24, 2014.",220.0,"My favourite game of all time, an absolute steam essential, with a solid 12 hours of gameplay and an amazing story that will keep you hooked for the entire game. It is also a type of game that has you thinking after the credits have rolled. 10/10 Best $10 I have ever spent",0.9022,Half-Life 2
76561198147471031,"Posted December 10, 2014.",8930.0,its probely one of the best civilization games so far,0.6369,Sid Meier's Civilization V
76561197966764681,"Posted September 12, 2014.",730.0,When im low on your mom jokes this is the game to play to stock up,0.3182,Counter-Strike: Global Offensive
76561198085567114,"Posted June 14, 2015.",4000.0,i love the creativity because you can build what ever you want.i have only 2 dislikes you can't edit an enemys health and make then harder to kill and you can not give many NPCs a sertain Weapon like a lightsaber.However I would give it a 9/10:),-0.0772,Garry's Mod
Qi_Bishop,"Posted May 7, 2015.",240.0,FIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLEFIREINTHEHOLE,0.0,Counter-Strike: Source
76561198058948596,"Posted July 13, 2015.",4000.0,I have counter-strike but no textures work biggest piece of ♥♥♥♥ game out there,-0.4215,Garry's Mod
Vextraaa,"Posted December 16, 2013.",4000.0,Funnest Game Ever!,0.636,Garry's Mod
76561198162487321,Posted February 13.,4000.0,"It was on a day like any other, two armies fought. Through fire and smoke and blood and hell, they fought. Until at last, I stood on top of what was once the Combine army.And then, as I looked up at the darkening sky with slaughter in my eyes and glory in my veins I saw the body of a dead Strider descending on top of me. As I felt the air being crushed out of my body and all the bones in my body breaking, I yelled about my victory before I sank into the darkness.10/10 Would be crushed by a dead Strider again :)",-0.9349,Garry's Mod
Emarques,"Posted January 16, 2014.",4000.0,um dos melhores q ja jogei,0.0,Garry's Mod
omgihaveawebpage,Posted March 11.,4000.0,It's Brilliant. Why?That would spoil it. You'll just have to trust me.-GawR,0.7964,Garry's Mod
76561198079356660,"Posted December 2, 2013.",4000.0,Well I would highly recommend this game to anyone its highly addictive and just pain amazing Buy this game now you wont regret it 9/10,0.7734,Garry's Mod
76561198101219872,"Posted October 4, 2014.",4000.0,E Um Otimo Jogo Para Quem Tem Criatividade E Sabedoria Em Criar Coisas Que Voçe Imagina Eu Recomendo Esse Jogo E Muito,0.0,Garry's Mod
oddso,"Posted May 10, 2015.",220.0,"Got it today and played around 6 hours of it. One of the most engaging and awesome looking games ever. Well worth the $10. What makes this game one of the best games is the scenery; destroyed buildings, blown-up cars and other people. The story is very engaging and the loading times are super quick. Im also running this on a crappy little tablet with graphics on high and I still have around 100fps. If you havent already got Half Life 2 get it! Also dont worry if you havent played Half Life (Number 1) because I have not and I understand the  majority of the story.EDIT: Just finished it and it is easily the best game I have ever played. The story is the best and so engaging that I just want to live in City 17 regardless of it's owners. I would like to personally thank Valve for making such a great game and all the voice actors. Thanks so much for a game that I will remember forever.2nd EDIT: Playing through a second time and finishing off some acheivements and trying for 100%. One problem though, is it me or is the hidden acheivement not the one where you through the can at the cop??? I've tried everything and i cant get it. 10 ² /10 ²",0.9933,Half-Life 2
76561198023508728,"Posted October 26, 2014.",8190.0,i tried to make meth but i ended up making ebola :(,-0.5927,Just Cause 2
Dr-Medic,"Posted May 21, 2014.",4000.0,"If you don't have this game then you should get itEDIT: Moral of the story Buy this Game/Mod... But if you tend to get plenty of mods, Be patient when loading the game. I know this from having this game crash serveral thousand Freaking TimesNOTE: I was also yiffed by a Animatronic while I was The Medic from TF2. Just when I thought Things couldn't get anymore disturbing. Or was it... Nope it was disturbing Nothing Else.... Sickos.Also Please Ignore my grammar issues on any of my reviews, Its a bad habit I cannot control.",-0.8907,Garry's Mod
MatthewW7,"Posted January 29, 2014.",4000.0,"Do not, under any circumstances, play this game.It will consume your life until you have none. You will not be able to stop playing.",0.25,Garry's Mod
76561198091703171,"Posted July 9, 2015.",4000.0,GG,0.296,Garry's Mod
TomoeMamiewe,Posted June 24.,4000.0,bueno pa jugar con amigos :v,0.0,Garry's Mod
76561198071620258,"Posted January 8, 2014.",4000.0,this game is awesome u get to do what u want when u want and no one can stop u and sandbox is just fun with friends i love it :D,0.9512,Garry's Mod
_DiDz_,"Posted January 21, 2015.",4000.0,This game is for the fun and creative people of Steam who either want to mess around with sandbox or play with friends on the many different gamemodes and servers that are included in Garry's Mod.,0.8591,Garry's Mod
Capscain,"Posted June 30, 2014.",4000.0,Wha...? WHERE ARE THE DANK WATERMELONS,0.0,Garry's Mod
BioFlashPC,"Posted April 6, 2014.",4000.0,This is a very great game and i think the fun of this game is never going to end as they add more stuff more fun comes in place but if you want the full experience of this game you will need Counter strike:Source and other games that have stuff in it like Team Fortress 2 and CSS (Counter strike:Source) is mainly the only other thing you need but other wise the game is great,0.968,Garry's Mod
Denroxyou,"Posted April 13, 2013.",4000.0,gr8 game m8 8/8 no deb8,0.5994,Garry's Mod
