genres,title,release_date,id
['Action'],Unreal Gold,1998-04-30,13250
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,13000
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,13560
['Action'],Far Cry®,2004-03-23,13520
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,13240
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540
['Simulation'],Silent Hunter® III,2005-03-15,15210
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,16180
['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,3520
['Casual'],Luxor,2008-06-10,15970
['Casual'],Reaxxion,2008-06-10,15950
['Casual'],Little Farm,2008-06-10,15960
['Casual'],7 Wonders II,2008-06-10,15900
['Casual'],Luxor Amun Rising,2005-12-08,15910
['Casual'],Luxor 3,2007-11-13,15930
['Simulation'],Petz® Horsez® 2,2007-11-13,15160
['Casual'],Luxor 2,2005-12-08,15920
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,15080
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,15200
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,15320
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240
['Adventure'],Bone: Out From Boneville,2005-09-15,8310
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600
['Adventure'],Bone: The Great Cow Race,2006-04-12,8320
['Racing'],Sprint Cars Road to Knoxville,2008-07-29,12590
['Simulation'],Ride! Carnival Tycoon,2007-07-02,12560
['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,12540
['Adventure'],Dracula Origin,2008-05-20,11050
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,11040
"['Adventure', 'Indie']",Eternity's Child,2008-07-31,19500
"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,11260
"['Action', 'Indie']",Tank Universal,2008-08-21,19200
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,12360
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,15710
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,15700
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660
['Strategy'],X-COM: Enforcer,2001-04-19,7770
['Strategy'],X-COM: Apocalypse,1997-07-15,7660
['Strategy'],X-COM: UFO Defense,1993-12-31,7760
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510
['Action'],Crysis Warhead®,2008-09-17,17330
['Action'],Crysis,2007-11-13,17300
['Strategy'],X-COM: Interceptor,1998-06-15,7730
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900
['Indie'],Multiwinia,2008-09-19,1530
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,8690
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,17120
['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,16810
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,19830
"['Action', 'Adventure']",LEGO Batman,2008-09-29,21000
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,4460
"['RPG', 'Strategy']",Hinterland,2008-09-30,17140
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,15390
"['Indie', 'Casual']",Gravitron 2,2008-08-31,21300
['Racing'],Xpand Rally Xtreme,2006-12-01,3050
['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,15380
['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,19800
['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,15370
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19930
['Casual'],Brain Spa,2007-09-25,15350
['Action'],The Sum of All Fears,2002-05-31,19810
['Casual'],Peggle™ Nights,2008-10-15,3540
['Indie'],World of Goo,2008-10-13,22000
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,2820
['Action'],Mare Nostrum,2008-10-17,1230
"['Casual', 'Indie']",Spectraball,2008-10-20,18300
"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,20200
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,12200
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,19900
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,11240
['Simulation'],PRR Wagon Pack 01,2009-01-01,256522
['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,275144
['Simulation'],ATSF Wagon Pack 01,2009-01-01,256521
['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,222569
['Simulation'],UK Van Wagon Pack,2009-01-01,256535
['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,256611
['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,256576
['Action'],Saints Row 2,2009-01-28,9480
['Action'],Dead Space,2008-10-20,17470
['RPG'],Rise of the Argonauts,2008-12-16,12770
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,17410
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,18500
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,16450
"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,15400
"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,18600
"['Action', 'Indie']",Larva Mortus,2009-03-19,11340
['Strategy'],Knights of Honor,2005-05-10,25830
"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,23460
['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,10600
['Action'],Watchmen: The End is Nigh,2009-03-04,21010
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,22180
['Action'],Unreal Tournament 3 Black,2007-11-19,13210
['RPG'],Drakensang,2009-02-27,12640
"['Indie', 'Simulation']",The Graveyard,2008-03-21,27020
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,24740
"['Action', 'Indie']",The Maw,2009-03-09,26000
"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,26006
"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,26005
"['Casual', 'Indie']",Obulis,2009-03-19,11330
['Indie'],Space Giraffe,2009-03-19,27800
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,9850
['Casual'],Escape Rosecliff Island,2009-04-15,3600
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,2006-10-27,29580
"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,2005-04-28,29540
"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,2006-04-28,29560
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,29570
['Casual'],Puzzle Kingdoms,2009-04-16,23700
['Casual'],Samantha Swift and the Golden Touch,2009-04-29,16060
['RPG'],Two Worlds Epic Edition,2009-04-30,1930
['Strategy'],Helldorado,2009-04-30,18470
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,7510
"['Action', 'Indie']",Zeno Clash,2009-04-21,22200
['Indie'],The Maw: Speeder Lane,2009-04-29,26007
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,25900
"['Casual', 'Simulation']",Virtual Families,2009-05-06,16200
['Racing'],Death Track®: Resurrection,2009-05-06,7840
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,8890
"['RPG', 'Strategy']",Freedom Force,2002-03-26,8880
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,34500
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009-06-09,1280
"['Action', 'Adventure']",Prototype™,2009-06-10,10150
"['Adventure', 'Indie']",Blueberry Garden,Jun 2009,29160
['Strategy'],Port Royale 2,2004-04-30,12470
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,22330
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,22320
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,12440
['Simulation'],Armored Fist 3,1999-09-01,32710
['Simulation'],MiG-29 Fulcrum,1998-09-07,32740
['Strategy'],BC Kings,2008-09-15,12460
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,21980
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,31860
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,31900
['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,31920
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,31930
"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,35800
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,31170
['Action'],Street Fighter® IV,2009-07-07,21660
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,6080
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,6010
['Action'],Armed and Dangerous®,2003-12-02,6090
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,6060
['Adventure'],Indiana Jones® and the Last Crusade™,1989-07-01,32310
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,32330
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,32360
['Strategy'],Warfare,2008-11-20,35300
"['Action', 'Racing']",Clutch,2009-06-02,35310
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009-07-21,31980
['Sports'],3D Ultra™ Minigolf Adventures,2006-12-20,10140
['Adventure'],King's Quest™ Collection,2006-09-01,10100
['Action'],TimeShift™,2007-10-30,10130
['Adventure'],Space Quest™ Collection,2006-09-01,10110
['Action'],Killing Floor Outbreak Character Pack,2009-07-24,1256
"['Action', 'Casual']",Aces of the Galaxy™,2008-06-04,10120
"['Simulation', 'Strategy']",Tropico Reloaded,2009-07-24,33520
['Casual'],Mystery P.I. - Lost in Los Angeles,2009-07-27,3610
['Action'],Bionic Commando: Rearmed,2008-08-14,21680
"['Action', 'Adventure']",Bionic Commando,2009-07-28,21670
['Action'],Watchmen: The End is Nigh Part 2,2009-07-29,21030
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009-08-04,36000
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003-11-19,32370
"['Indie', 'Casual']",Osmos,2009-08-18,29180
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,38410
['Strategy'],Fallout Tactics: Brotherhood of Steel,2001-03-01,38420
['Action'],Kingpin — Life of Crime,1999-06-01,38430
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,31180
['Casual'],Jewel Quest Pack,2009-08-24,37960
['Casual'],Mahjong Quest Collection,2009-08-24,38000
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,37400
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,13570
['Strategy'],XIII Century – Gold Edition,2009-08-28,34420
['Simulation'],World of Zoo,2009-10-30,43100
"['Action', 'Adventure']",Mini Ninjas,2009-09-08,35000
"['Adventure', 'Casual', 'Indie']",Windosill,2009-05-26,37600
['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,24029
"['Adventure', 'Casual']",Midnight Mysteries,2009-09-28,32140
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,31190
['Action'],Joint Operations: Combined Arms Gold,2009-08-18,32770
['Simulation'],Train Simulator: US Loco &amp; Asset Pack,2009-10-01,208306
['Simulation'],DinerTown Tycoon,2009-09-30,37300
['Simulation'],Train Simulator: European Loco &amp; Asset Pack,2009-10-01,208300
['RPG'],Risen,2009-10-30,40300
['Casual'],Flora's Fruit Farm,2009-10-01,35070
['Strategy'],Empire: Total War™ - The Warpath Campaign,2009-10-05,10606
"['Adventure', 'Indie']",Machinarium,2009-10-16,40700
['Action'],Medal of Honor: Airborne,2007-09-04,24840
['Racing'],Need for Speed: Shift,2009-09-15,24870
['RPG'],Torchlight,2009-10-27,41500
['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,24800
['Strategy'],The Stronghold Collection,2009-10-27,901735
['Strategy'],East India Company: Privateer,2009-10-27,42800
['Action'],Painkiller: Resurrection,2009-10-27,39560
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,2009-10-29,39550
['Adventure'],Secret Files: Tunguska,2009-10-29,40330
['Strategy'],Rush for Berlin Gold,2009-10-29,40320
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,31200
['Strategy'],Men of War: Red Tide,2009-11-01,3130
"['Action', 'Indie']",Hammerfight,2009-09-19,41100
"['Action', 'RPG']",SpellForce - Platinum Edition,2009-11-03,39540
['Strategy'],Massive Assault: Phantom Renaissance,2005-03-03,34640
['Strategy'],Massive Assault,2003-10-28,34630
"['Action', 'Indie']",Serious Sam HD: The First Encounter,2009-11-24,41000
['Adventure'],Secret Files 2: Puritas Cordis,2009-10-29,40340
['RPG'],Dragon Age: Origins,2009-11-06,17450
"['Action', 'RPG', 'Indie']",Aztaka,2009-05-07,37100
"['Indie', 'Casual']",Magnetis,2009-11-05,37500
['Strategy'],For The Glory: A Europa Universalis Game,2009-11-11,42810
['Action'],Call of Duty®: Modern Warfare® 2,2009-11-12,10180
['Adventure'],LEGO® Star Wars™ - The Complete Saga,2009-11-12,32440
['RPG'],Overlord™,2007-06-26,11450
['RPG'],Overlord™: Raising Hell,2008-02-15,12710
['Strategy'],Command &amp; Conquer 3: Tiberium Wars,2007-03-28,24790
"['Indie', 'Casual']",Yumsters 2: Around the World,2008-07-23,29120
['Strategy'],Command &amp; Conquer 3: Kane's Wrath,2009-11-13,24810
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,2009-11-16,41800
['Simulation'],Wings of Prey,2009-12-25,45300
"['Action', 'Adventure', 'RPG']",The Bard's Tale,2005-06-17,41900
['Action'],Defence Alliance 2,2009-10-22,35420
['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,32430
['RPG'],Fallout 3: Game of the Year Edition,2009-10-13,22370
"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,2009-12-16,41802
['Simulation'],Build-A-Lot,2007-10-02,38080
['Simulation'],Build-A-Lot 2: Town of the Year,2008-04-29,38090
['Simulation'],Build-A-Lot 3: Passport to Europe,2009-01-24,38100
"['Casual', 'Simulation']",Coconut Queen,2009-12-17,38070
['Casual'],Roogoo,2009-12-17,38210
"['Action', 'Adventure']",Devil May Cry 4,2008-07-08,45700
"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,2010-03-17,46410
['Simulation'],Build-A-Lot 4: Power Source,2009-08-12,38110
"['Action', 'Free to Play', 'Indie']","Pirates, Vikings, and Knights II",2010-02-12,17570
['Casual'],Farm Frenzy 2,2008-08-27,38130
['Casual'],Farm Frenzy 3: American Pie,2010-01-06,38160
['Casual'],Farm Frenzy 3,2009-09-11,38150
['Casual'],Farm Frenzy,2007-12-07,38120
['Casual'],Farm Frenzy: Pizza Party,2009-02-18,38140
['Casual'],Cake Mania Main Street™,2010-02-16,36300
"['Strategy', 'Casual']",Westward® IV: All Aboard,2010-02-16,36310
"['Adventure', 'Casual']",Iron Roses,2010-02-16,36320
['Strategy'],UFO: Extraterrestrials Gold,2010-02-17,37030
['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,32450
"['Action', 'Indie', 'Racing']",Super Laser  Racer,2010-02-18,44100
['Strategy'],Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,25960
['Action'],NecroVisioN: Lost Company,2010-02-19,46250
['Casual'],Cradle of Persia,2007-12-01,38180
['Action'],Aliens vs. Predator Swarm Map Pack,2010-03-18,10695
"['Action', 'Indie']",Serious Sam Classic: The First Encounter,2001-03-21,41050
['Simulation'],Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,24055
"['Action', 'RPG']",Mount &amp; Blade: Warband,2010-03-31,48700
['Action'],Coniclysm,2010-03-26,39900
"['Action', 'Indie']",Plain Sight,2010-04-05,49900
['Action'],Lead and Gold: Gangs of the Wild West,2010-04-08,42120
['Action'],Grand Theft Auto: Episodes from Liberty City,2010-04-12,12220
"['Action', 'Adventure']",Dark Void™ Zero,2010-04-12,45730
['Indie'],Fortix,2010-04-14,45400
"['Action', 'Casual', 'Indie']",Beat Hazard,2010-04-15,49600
['Adventure'],Sam &amp; Max: The Devil’s Playhouse,2010-04-15,901399
"['Simulation', 'Strategy']",M.U.D. TV,2010-04-19,43500
['Simulation'],Wings of Luftwaffe Add-on,2010-04-19,45302
"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,2010-04-20,40930
['Action'],AquaNox 2: Revelation,2003-08-19,39640
['Action'],AquaNox,2001-11-30,39630
"['Casual', 'Indie']",Fluttabyes,2010-04-20,23150
['Casual'],Hidden Expedition: Titanic,2006-07-19,50940
"['Casual', 'Indie']",Hidden Expedition: Amazon,2008-06-19,50920
['Strategy'],Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,34178
['Casual'],Fitness Dash™,2008-12-31,37340
['Casual'],Gemini Lost™,2009-09-24,37390
['Casual'],DinerTown Detective Agency™,2009-07-27,37310
['Casual'],Hotel Dash™ Suite Success™,2009-12-24,49000
['Casual'],Nightshift Legacy: The Jaguar's Eye™,2010-03-19,37330
['Casual'],The Nightshift Code™,2008-02-11,37320
['Casual'],TriJinx: A Kristine Kross Mystery™,2007-12-31,37370
['Casual'],Valerie Porter and the Scarlet Scandal™,2009-12-21,37380
"['Action', 'Adventure', 'Casual']",Biozone,2010-05-07,19080
"['Action', 'Adventure']",Rocket Knight,2010-05-11,19030
"['Action', 'Indie']",Flight of the Icarus,2010-05-12,49800
['Casual'],Puzzler World,2010-05-28,33650
"['Action', 'Adventure']",Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,901478
"['Casual', 'Indie']",Ziro,2010-05-28,33660
['Action'],Altered Beast™,2010-06-01,34281
['Action'],Comix Zone™,2010-06-01,34272
"['Action', 'Adventure', 'Casual', 'RPG']",SEGA Mega Drive and Genesis Classics,2010-06-01,34270
['Action'],Golden Axe™,2010-06-01,34276
['Action'],Ecco the Dolphin™,2010-06-01,34274
['Strategy'],Gain Ground™,2010-06-01,34275
['Action'],Shinobi™ III: Return of the Ninja Master,2010-06-01,34277
['Action'],Crack Down™,2010-06-01,34273
['Action'],VectorMan™,2010-06-01,34280
['Action'],Shadow Dancer™,2010-06-01,34282
['Action'],Space Harrier™ II,2010-06-01,34279
"['Action', 'RPG']",Alpha Protocol™,2010-06-01,34010
['Action'],Alien Breed: Impact,2010-06-03,22610
['RPG'],Fallout 3 - Point Lookout,2010-07-16,22440
"['Strategy', 'Indie']",Defense Grid: Resurgence Map Pack 1,2010-06-02,18508
['RPG'],Fallout 3 - Mothership Zeta,2010-07-16,22430
['RPG'],Fallout 3 - Broken Steel,2010-07-16,22410
['RPG'],Fallout 3 - The Pitt,2010-07-16,22420
['Action'],Alien Swarm,2010-07-19,630
['RPG'],Fallout 3 - Operation Anchorage,2010-07-16,22400
"['Simulation', 'Strategy']",SimCity™ 4 Deluxe Edition,2003-09-22,24780
"['Strategy', 'RPG']",Disciples III - Renaissance Steam Special Edition,2010-07-16,33670
"['Casual', 'Indie']",Tidalis,2010-07-16,40420
"['Action', 'Casual', 'Indie']",Razor2: Hidden Skies,2010-07-19,34920
['Strategy'],The Settlers 7: Uncharted Land Map Pack,2010-07-21,48136
['RPG'],Dimensity,2008-12-08,46720
['Action'],Kane &amp; Lynch 2: Dog Days,2010-08-17,28000
"['Simulation', 'Strategy']",The Guild II Renaissance,2010-07-28,39680
['Strategy'],Hearts of Iron III DLC: German II Spritepack,2010-07-26,25962
['Simulation'],Trainz Simulator DLC: Blue Comet,2010-08-06,24634
['Strategy'],Fantasy Wars,2010-08-06,63900
['Action'],Mafia II,2011-03-22,50130
['Simulation'],Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,24075
"['RPG', 'Casual']",Puzzle Quest 2,2010-08-12,47540
['Action'],Burn Zombie Burn!,2010-08-12,50510
['Indie'],Madballs B*D*I Clan Skins,2010-08-16,25760
['Indie'],Madballs Scorched Evolution Skin Rollup,2010-08-16,25763
['Indie'],Madballs BDI Evolution Skin Rollup,2010-08-16,25762
['Indie'],Madballs Holiday Skin Rollup,2010-08-16,25764
['Strategy'],Victoria I Complete,2010-08-20,42980
['Simulation'],Ship Simulator Extremes,2010-08-27,48800
['Strategy'],Worms Reloaded,2010-08-26,22600
"['Indie', 'Simulation', 'Strategy']",Making History II: The War of the World,2010-06-22,46770
"['Action', 'Simulation', 'Strategy']",Arma 2: British Armed Forces,2010-08-27,65700
['Strategy'],Victoria II,2010-08-30,42960
['Indie'],Madballs Scorched Clan Skins,2010-08-16,25761
